key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,Type,TimeLimit,MapIcon,Name,TextData{Start},TextData{End},StartCutscene,LGBEventRange,LGBPopRange,ContentFinderCondition,AdditionalData,,,,,,EndCutscene
int32,byte,uint16,Image,str,PublicContentTextData,PublicContentTextData,PublicContentCutscene,uint32,uint32,ContentFinderCondition,Row,byte,uint16,uint16,uint16,uint16,PublicContentCutscene
0,0,0,,"","","","PublicContentCutscene#0",0,0,"",,0,0,0,0,18,"PublicContentCutscene#0"
1,1,0,,"the Ceremony of Eternal Bonding","Pre-ceremony
The hosts may ring their eternity bells to proceed.","You have endured much and more as individuals to arrive at this day.","PublicContentCutscene#0",0,0,"",,0,0,0,0,18,"PublicContentCutscene#0"
2,2,0,"ui/icon/060000/060848.tex","","","","PublicContentCutscene#0",0,0,"The Triple Triad Battlehall",,0,0,0,0,18,"PublicContentCutscene#0"
3,3,180,"ui/icon/060000/060851.tex","","","","PublicContentCutscene#50007",7207922,0,"the Forbidden Land, Eureka Anemos","Eureka#1",0,0,0,0,18,"PublicContentCutscene#0"
4,3,180,"ui/icon/060000/060851.tex","","","","PublicContentCutscene#50008",7516174,0,"the Forbidden Land, Eureka Pagos","Eureka#2",0,0,0,0,18,"PublicContentCutscene#0"
5,4,60,"ui/icon/060000/060831.tex","","","","PublicContentCutscene#50009",7536621,0,"the Calamity Retold",,0,0,0,0,18,"PublicContentCutscene#0"
6,3,180,"ui/icon/060000/060851.tex","","","","PublicContentCutscene#50010",7646208,0,"the Forbidden Land, Eureka Pyros","Eureka#3",0,0,0,0,18,"PublicContentCutscene#0"
7,5,10,"ui/icon/060000/060848.tex","","Gilded Cactuars","Jump to the finish!","PublicContentCutscene#0",0,0,"Leap of Faith","GFateClimbing2Content#1",0,30,0,0,18,"PublicContentCutscene#0"
8,5,10,"ui/icon/060000/060848.tex","","Gilded Cactuars","Jump to the finish!","PublicContentCutscene#0",0,0,"Leap of Faith","GFateClimbing2Content#2",0,30,0,0,18,"PublicContentCutscene#0"
9,5,10,"ui/icon/060000/060848.tex","","Gilded Cactuars","Jump to the finish!","PublicContentCutscene#0",0,0,"Leap of Faith","GFateClimbing2Content#3",0,30,0,0,18,"PublicContentCutscene#0"
10,5,10,"ui/icon/060000/060848.tex","","Gilded Cactuars","Jump to the finish!","PublicContentCutscene#0",0,0,"Leap of Faith","GFateClimbing2Content#4",0,30,0,0,18,"PublicContentCutscene#0"
11,5,10,"ui/icon/060000/060848.tex","","Gilded Cactuars","Jump to the finish!","PublicContentCutscene#0",0,0,"Leap of Faith","GFateClimbing2Content#5",0,30,0,0,18,"PublicContentCutscene#0"
12,5,10,"ui/icon/060000/060848.tex","","Gilded Cactuars","Jump to the finish!","PublicContentCutscene#0",0,0,"Leap of Faith","GFateClimbing2Content#6",0,30,0,0,18,"PublicContentCutscene#0"
13,5,10,"ui/icon/060000/060848.tex","","Gilded Cactuars","Jump to the finish!","PublicContentCutscene#0",0,0,"Leap of Faith","GFateClimbing2Content#7",0,30,0,0,18,"PublicContentCutscene#0"
14,5,10,"ui/icon/060000/060848.tex","","Gilded Cactuars","Jump to the finish!","PublicContentCutscene#0",0,0,"Leap of Faith","GFateClimbing2Content#8",0,30,0,0,18,"PublicContentCutscene#0"
15,5,10,"ui/icon/060000/060848.tex","","Gilded Cactuars","Jump to the finish!","PublicContentCutscene#0",0,0,"Leap of Faith","GFateClimbing2Content#9",0,30,0,0,18,"PublicContentCutscene#0"
16,3,180,"ui/icon/060000/060851.tex","","O mighty Odin─forlorn hero! In thy hallowed name, I shall strike at the wicked empire!","By thy principlesss...I am freed from the chainsss placed upon me since time immemorial.","PublicContentCutscene#50011",7840031,0,"the Forbidden Land, Eureka Hydatos","Eureka#4",13,2,0,0,18,"PublicContentCutscene#0"
